OD(m),t(m),currentTop,currentBottom,toptension,depth(m),coverage,buoyThick,log(OMFD),MAPE
0.358257432,0.015021867,2.05486337,0.069905944,1858.061777,822.3469108,0.5,0.330147465,2.041392685,33.9709057
0.26664029,0.008011252,2.175372249,0.34530966,4116.729618,1314.926752,0.5,0.330147465,1.40654018,8.927431402
0.600410645,0.008020027,2.52511353,0.244567448,4713.364125,1410.002438,0.5,0.330147465,2.550228353,21.7529469
0.221450227,0.008331905,1.044276534,0.074357407,1546.845723,1000.801142,0.5,0.330147465,0.164352856,42.25456806
0.392234239,0.011477593,1.789184151,0.326821583,3843.466738,1418.701722,0.5,0.330147465,1.36361198,24.67161398
0.182186687,0.009123237,2.633790716,0.039233884,1019.644802,1360.033874,0.5,0.330147465,3.08278537,2.561741277
0.438822805,0.007382863,0.392045061,0.382241277,4085.098867,568.3889261,0.5,0.330147465,-2.30980392,20.36275157
0.390561834,0.007905456,2.358705492,0.066575221,3787.670046,981.6005585,0.5,0.330147465,2.049218023,8.644553663
0.319260723,0.017677989,1.694380969,0.225657401,3899.101235,1469.015696,0.5,0.330147465,0.950364854,19.91887894
0.3873266,0.013922849,2.454202855,0.400471422,2822.096663,786.2104695,0.5,0.330147465,2.220108088,41.89318003
0.398602168,0.016471537,1.950418341,0.054221014,7287.018952,1433.262664,0.5,0.330147465,0.731588765,7.975824915
0.264521542,0.009020566,0.693060478,0.190978541,3930.952592,865.51022,0.5,0.330147465,-1.872895202,1.638297677
0.534878743,0.014798415,2.309346255,0.073073108,4431.981527,1196.807398,0.5,0.330147465,2.06069784,16.83143957
0.572106122,0.016999948,2.470802767,0.279250114,5659.628841,1317.203322,0.5,0.330147465,2.096910013,25.59520264
0.206625018,0.008517173,1.930266731,0.329000963,1129.079043,824.8775385,0.5,0.330147465,2.152288344,27.36293105
0.409940995,0.008412585,2.689006045,0.307176023,3928.622662,1332.575901,0.5,0.330147465,2.459392488,8.261267395
0.478971749,0.013656571,1.895403746,0.148071758,6230.14995,1027.607879,0.5,0.330147465,0.953276337,33.62876015
